Pokemon,Abilities,Base_Experience,Height,ID,Type_1,Type_2,Weight,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,Sprites,Base_Pokemon,Evolution_Level_1,Evolution_Level_2
Beedrill,Swarm,178.0,10,15,Bug,Poison,295,65,90,40,45,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,Weedle,Kakuna,Beedrill
Pidgey,Keen-Eye,50.0,3,16,Normal,Flying,18,40,45,40,35,35,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,Pidgey,Pidgeotto,Pidgeot
Pidgeotto,Keen-Eye,122.0,11,17,Normal,Flying,300,63,60,55,50,50,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,Pidgey,Pidgeotto,Pidgeot
Pidgeot,Keen-Eye,216.0,15,18,Normal,Flying,395,83,80,75,70,70,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,Pidgey,Pidgeotto,Pidgeot
Rattata,Run-Away,51.0,3,19,Normal,No Second Type,35,30,56,35,25,35,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,Rattata,Raticate,No Second Evolution
Raticate,Run-Away,145.0,7,20,Normal,No Second Type,185,55,81,60,50,70,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,Rattata,Raticate,No Second Evolution
Spearow,Keen-Eye,52.0,3,21,Normal,Flying,20,40,60,30,31,31,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,Spearow,Fearow,No Second Evolution
Fearow,Keen-Eye,155.0,12,22,Normal,Flying,380,65,90,65,61,61,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,Spearow,Fearow,No Second Evolution
Ekans,Intimidate,58.0,20,23,Poison,No Second Type,69,35,60,44,40,54,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,Ekans,Arbok,No Second Evolution
Arbok,Intimidate,157.0,35,24,Poison,No Second Type,650,60,95,69,65,79,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,Ekans,Arbok,No Second Evolution
Pikachu,Static,112.0,4,25,Electric,No Second Type,60,35,55,40,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,Pichu,Pikachu,Raichu
Raichu,Static,243.0,8,26,Electric,No Second Type,300,60,90,55,90,80,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,Pichu,Pikachu,Raichu
Sandshrew,Sand-Veil,60.0,6,27,Ground,No Second Type,120,50,75,85,20,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,Sandshrew,Sandslash,No Second Evolution
Sandslash,Sand-Veil,158.0,10,28,Ground,No Second Type,295,75,100,110,45,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,Sandshrew,Sandslash,No Second Evolution
Nidoran-F,Poison-Point,55.0,4,29,Poison,No Second Type,70,55,47,52,40,40,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,Nidoran-F,Nidorina,Nidoqueen
Nidorina,Poison-Point,128.0,8,30,Poison,No Second Type,200,70,62,67,55,55,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,Nidoran-F,Nidorina,Nidoqueen
Nidoqueen,Poison-Point,253.0,13,31,Poison,Ground,600,90,92,87,75,85,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,Nidoran-F,Nidorina,Nidoqueen
Nidoran-M,Poison-Point,55.0,5,32,Poison,No Second Type,90,46,57,40,40,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,Nidoran-M,Nidorino,Nidoking
Nidorino,Poison-Point,128.0,9,33,Poison,No Second Type,195,61,72,57,55,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,Nidoran-M,Nidorino,Nidoking
Nidoking,Poison-Point,253.0,14,34,Poison,Ground,620,81,102,77,85,75,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,Nidoran-M,Nidorino,Nidoking
Clefairy,Cute-Charm,113.0,6,35,Fairy,No Second Type,75,70,45,48,60,65,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,Cleffa,Clefairy,Clefable
Clefable,Cute-Charm,242.0,13,36,Fairy,No Second Type,400,95,70,73,95,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,Cleffa,Clefairy,Clefable
Vulpix,Flash-Fire,60.0,6,37,Fire,No Second Type,99,38,41,40,50,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,Vulpix,Ninetales,No Second Evolution
Ninetales,Flash-Fire,177.0,11,38,Fire,No Second Type,199,73,76,75,81,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,Vulpix,Ninetales,No Second Evolution
Jigglypuff,Cute-Charm,95.0,5,39,Normal,Fairy,55,115,45,20,45,25,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,Igglybuff,Jigglypuff,Wigglytuff
Wigglytuff,Cute-Charm,218.0,10,40,Normal,Fairy,120,140,70,45,85,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,Igglybuff,Jigglypuff,Wigglytuff
Zubat,Inner-Focus,49.0,8,41,Poison,Flying,75,40,45,35,30,40,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,Zubat,Golbat,Crobat
Golbat,Inner-Focus,159.0,16,42,Poison,Flying,550,75,80,70,65,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,Zubat,Golbat,Crobat
Oddish,Chlorophyll,64.0,5,43,Grass,Poison,54,45,50,55,75,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,Oddish,Gloom,Vileplume
Gloom,Chlorophyll,138.0,8,44,Grass,Poison,86,60,65,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,Oddish,Gloom,Vileplume
Vileplume,Chlorophyll,245.0,12,45,Grass,Poison,186,75,80,85,110,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,Oddish,Gloom,Vileplume
Paras,Effect-Spore,57.0,3,46,Bug,Grass,54,35,70,55,45,55,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,Paras,Parasect,No Second Evolution
Parasect,Effect-Spore,142.0,10,47,Bug,Grass,295,60,95,80,60,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,Paras,Parasect,No Second Evolution
Venonat,Compound-Eyes,61.0,10,48,Bug,Poison,300,60,55,50,40,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,Venonat,Venomoth,No Second Evolution
Venomoth,Shield-Dust,158.0,15,49,Bug,Poison,125,70,65,60,90,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,Venonat,Venomoth,No Second Evolution
Diglett,Sand-Veil,53.0,2,50,Ground,No Second Type,8,10,55,25,35,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,Diglett,Dugtrio,No Second Evolution
Dugtrio,Sand-Veil,149.0,7,51,Ground,No Second Type,333,35,100,50,50,70,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,Diglett,Dugtrio,No Second Evolution
Meowth,Pickup,58.0,4,52,Normal,No Second Type,42,40,45,35,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,Meowth,Persian,No Second Evolution
Persian,Limber,154.0,10,53,Normal,No Second Type,320,65,70,60,65,65,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,Meowth,Persian,No Second Evolution
Psyduck,Damp,64.0,8,54,Water,No Second Type,196,50,52,48,65,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,Psyduck,Golduck,No Second Evolution
Golduck,Damp,175.0,17,55,Water,No Second Type,766,80,82,78,95,80,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,Psyduck,Golduck,No Second Evolution
Mankey,Vital-Spirit,61.0,5,56,Fighting,No Second Type,280,40,80,35,35,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,Mankey,Primeape,Annihilape
Primeape,Vital-Spirit,159.0,10,57,Fighting,No Second Type,320,65,105,60,60,70,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,Mankey,Primeape,Annihilape
Growlithe,Intimidate,70.0,7,58,Fire,No Second Type,190,55,70,45,70,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,Growlithe,Arcanine,No Second Evolution
Arcanine,Intimidate,194.0,19,59,Fire,No Second Type,1550,90,110,80,100,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,Growlithe,Arcanine,No Second Evolution
Poliwag,Water-Absorb,60.0,6,60,Water,No Second Type,124,40,50,40,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,Poliwag,Poliwhirl,Poliwrath
Poliwhirl,Water-Absorb,135.0,10,61,Water,No Second Type,200,65,65,65,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,Poliwag,Poliwhirl,Poliwrath
Poliwrath,Water-Absorb,255.0,13,62,Water,Fighting,540,90,95,95,70,90,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,Poliwag,Poliwhirl,Poliwrath
Abra,Synchronize,62.0,9,63,Psychic,No Second Type,195,25,20,15,105,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,Abra,Kadabra,Alakazam
Kadabra,Synchronize,140.0,13,64,Psychic,No Second Type,565,40,35,30,120,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,Abra,Kadabra,Alakazam
Alakazam,Synchronize,250.0,15,65,Psychic,No Second Type,480,55,50,45,135,95,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,Abra,Kadabra,Alakazam
Machop,Guts,61.0,8,66,Fighting,No Second Type,195,70,80,50,35,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,Machop,Machoke,Machamp
Machoke,Guts,142.0,15,67,Fighting,No Second Type,705,80,100,70,50,60,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,Machop,Machoke,Machamp
Machamp,Guts,253.0,16,68,Fighting,No Second Type,1300,90,130,80,65,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,Machop,Machoke,Machamp
Bellsprout,Chlorophyll,60.0,7,69,Grass,Poison,40,50,75,35,70,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,Bellsprout,Weepinbell,Victreebel
Weepinbell,Chlorophyll,137.0,10,70,Grass,Poison,64,65,90,50,85,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,Bellsprout,Weepinbell,Victreebel
Victreebel,Chlorophyll,221.0,17,71,Grass,Poison,155,80,105,65,100,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,Bellsprout,Weepinbell,Victreebel
Tentacool,Clear-Body,67.0,9,72,Water,Poison,455,40,40,35,50,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,Tentacool,Tentacruel,No Second Evolution
Tentacruel,Clear-Body,180.0,16,73,Water,Poison,550,80,70,65,80,120,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,Tentacool,Tentacruel,No Second Evolution
Geodude,Rock-Head,60.0,4,74,Rock,Ground,200,40,80,100,30,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,Geodude,Graveler,Golem
Graveler,Rock-Head,137.0,10,75,Rock,Ground,1050,55,95,115,45,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,Geodude,Graveler,Golem
Golem,Rock-Head,223.0,14,76,Rock,Ground,3000,80,120,130,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,Geodude,Graveler,Golem
Ponyta,Run-Away,82.0,10,77,Fire,No Second Type,300,50,85,55,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,Ponyta,Rapidash,No Second Evolution
Rapidash,Run-Away,175.0,17,78,Fire,No Second Type,950,65,100,70,80,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,Ponyta,Rapidash,No Second Evolution
Slowpoke,Oblivious,63.0,12,79,Water,Psychic,360,90,65,65,40,40,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,Slowpoke,Slowbro,No Second Evolution
Slowbro,Oblivious,172.0,16,80,Water,Psychic,785,95,75,110,100,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,Slowpoke,Slowbro,No Second Evolution
Magnemite,Magnet-Pull,65.0,3,81,Electric,Steel,60,25,35,70,95,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,Magnemite,Magneton,Magnezone
Magneton,Magnet-Pull,163.0,10,82,Electric,Steel,600,50,60,95,120,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,Magnemite,Magneton,Magnezone
Farfetchd,Keen-Eye,132.0,8,83,Normal,Flying,150,52,90,55,58,62,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,Farfetchd,Sirfetchd,No Second Evolution
Doduo,Run-Away,62.0,14,84,Normal,Flying,392,35,85,45,35,35,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,Doduo,Dodrio,No Second Evolution
Dodrio,Run-Away,165.0,18,85,Normal,Flying,852,60,110,70,60,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,Doduo,Dodrio,No Second Evolution
Seel,Thick-Fat,65.0,11,86,Water,No Second Type,900,65,45,55,45,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,Seel,Dewgong,No Second Evolution
Dewgong,Thick-Fat,166.0,17,87,Water,Ice,1200,90,70,80,70,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,Seel,Dewgong,No Second Evolution
Grimer,Stench,65.0,9,88,Poison,No Second Type,300,80,80,50,40,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,Grimer,Muk,No Second Evolution
Muk,Stench,175.0,12,89,Poison,No Second Type,300,105,105,75,65,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,Grimer,Muk,No Second Evolution
Shellder,Shell-Armor,61.0,3,90,Water,No Second Type,40,30,65,100,45,25,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,Shellder,Cloyster,No Second Evolution
Cloyster,Shell-Armor,184.0,15,91,Water,Ice,1325,50,95,180,85,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,Shellder,Cloyster,No Second Evolution
Gastly,Levitate,62.0,13,92,Ghost,Poison,1,30,35,30,100,35,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,Gastly,Haunter,Gengar
Haunter,Levitate,142.0,16,93,Ghost,Poison,1,45,50,45,115,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,Gastly,Haunter,Gengar
Gengar,Cursed-Body,250.0,15,94,Ghost,Poison,405,60,65,60,130,75,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,Gastly,Haunter,Gengar
Onix,Rock-Head,77.0,88,95,Rock,Ground,2100,35,45,160,30,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,Onix,Steelix,No Second Evolution
Drowzee,Insomnia,66.0,10,96,Psychic,No Second Type,324,60,48,45,43,90,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,Drowzee,Hypno,No Second Evolution
Hypno,Insomnia,169.0,16,97,Psychic,No Second Type,756,85,73,70,73,115,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,Drowzee,Hypno,No Second Evolution
Krabby,Hyper-Cutter,65.0,4,98,Water,No Second Type,65,30,105,90,25,25,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png,Krabby,Kingler,No Second Evolution
Kingler,Hyper-Cutter,166.0,13,99,Water,No Second Type,600,55,130,115,50,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png,Krabby,Kingler,No Second Evolution
Voltorb,Soundproof,66.0,5,100,Electric,No Second Type,104,40,30,50,55,55,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png,Voltorb,Electrode,No Second Evolution
Electrode,Soundproof,172.0,12,101,Electric,No Second Type,666,60,50,70,80,80,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png,Voltorb,Electrode,No Second Evolution
Exeggcute,Chlorophyll,65.0,4,102,Grass,Psychic,25,60,40,80,60,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png,Exeggcute,Exeggutor,No Second Evolution
Exeggutor,Chlorophyll,186.0,20,103,Grass,Psychic,1200,95,95,85,125,75,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png,Exeggcute,Exeggutor,No Second Evolution
Cubone,Rock-Head,64.0,4,104,Ground,No Second Type,65,50,50,95,40,50,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png,Cubone,Marowak,No Second Evolution
Marowak,Rock-Head,149.0,10,105,Ground,No Second Type,450,60,80,110,50,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png,Cubone,Marowak,No Second Evolution
Hitmonlee,Limber,159.0,15,106,Fighting,No Second Type,498,50,120,53,35,110,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png,Tyrogue,Hitmonlee,No Second Evolution
Hitmonchan,Keen-Eye,159.0,14,107,Fighting,No Second Type,502,50,105,79,35,110,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png,No Evolution Chain,No Evolution Chain,No Evolution Chain
Lickitung,Own-Tempo,77.0,12,108,Normal,No Second Type,655,90,55,75,60,75,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png,Lickitung,Lickilicky,No Second Evolution
Koffing,Levitate,68.0,6,109,Poison,No Second Type,10,40,65,95,60,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png,Koffing,Weezing,No Second Evolution
Weezing,Levitate,172.0,12,110,Poison,No Second Type,95,65,90,120,85,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png,Koffing,Weezing,No Second Evolution
Rhyhorn,Lightning-Rod,69.0,10,111,Ground,Rock,1150,80,85,95,30,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png,Rhyhorn,Rhydon,Rhyperior
Rhydon,Lightning-Rod,170.0,19,112,Ground,Rock,1200,105,130,120,45,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png,Rhyhorn,Rhydon,Rhyperior
Chansey,Natural-Cure,395.0,11,113,Normal,No Second Type,346,250,5,5,35,105,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png,Happiny,Chansey,Blissey
Tangela,Chlorophyll,87.0,10,114,Grass,No Second Type,350,65,55,115,100,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png,Tangela,Tangrowth,No Second Evolution
Kangaskhan,Early-Bird,172.0,22,115,Normal,No Second Type,800,105,95,80,40,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png,Kangaskhan,No First Evolution,No Second Evolution
Horsea,Swift-Swim,59.0,4,116,Water,No Second Type,80,30,40,70,70,25,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png,Horsea,Seadra,Kingdra
Seadra,Poison-Point,154.0,12,117,Water,No Second Type,250,55,65,95,95,45,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png,Horsea,Seadra,Kingdra
Goldeen,Swift-Swim,64.0,6,118,Water,No Second Type,150,45,67,60,35,50,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png,Goldeen,Seaking,No Second Evolution
Seaking,Swift-Swim,158.0,13,119,Water,No Second Type,390,80,92,65,65,80,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png,Goldeen,Seaking,No Second Evolution
Staryu,Illuminate,68.0,8,120,Water,No Second Type,345,30,45,55,70,55,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png,Staryu,Starmie,No Second Evolution
Starmie,Illuminate,182.0,11,121,Water,Psychic,800,60,75,85,100,85,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png,Staryu,Starmie,No Second Evolution
Mr-Mime,Soundproof,161.0,13,122,Psychic,Fairy,545,40,45,65,100,120,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png,Mime-Jr,Mr-Mime,Mr-Rime
Scyther,Swarm,100.0,15,123,Bug,Flying,560,70,110,80,55,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png,Scyther,Scizor,No Second Evolution
Jynx,Oblivious,159.0,14,124,Ice,Psychic,406,65,50,35,115,95,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png,Smoochum,Jynx,No Second Evolution
